,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid
SUP-B8,SUP-B8,SUP-B8,NA,NA,NA,NA,NA,NA,SUP-B8,NA,SUP-B8,NA,NA,NA,SUP-B8,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
SUP-T1,SUP-T1,SUP-T1,SUP-T1,NA,NA,NA,NA,NA,SUP-T1,SUP-T1,SUP-T1,NA,SUPT1,NA,SUP-T1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
SW1088,SW1088,SW1088,SW 1088,SW1088,NA,NA,NA,NA,SW1088,SW_1088,SW1088,NA,SW1088,NA,SW1088,central_nervous_system,central_nervous_system,central_nervous_system,NA,NA,NA,NA,CNS,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,SW1088,central_nervous_system
SW1116,SW1116,SW1116,SW1116,SW1116,NA,NA,SW 1116,NA,SW1116,SW1116,SW1116,NA,SW1116,NA,SW1116,large_intestine,large_intestine,colon,NA,NA,Colon,NA,Intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine,SW1116,large_intestine
SW13,SW13,SW13,NA,NA,NA,NA,NA,NA,SW13,NA,SW13,NA,NA,NA,SW13,adrenal_gland,NA,NA,NA,NA,NA,NA,Kidney,NA,kidney ,NA,NA,adrenal_gland,adrenal_gland,NA,NA,adrenal_gland,NA,NA
SW1417,SW1417,SW1417,SW1417,SW1417,NA,NA,SW 1417,NA,SW1417,SW1417,SW1417,NA,SW1417,NA,SW1417,large_intestine,large_intestine,colon,NA,NA,Colon,NA,Intestin,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine,SW1417,large_intestine
SW1463,SW1463,SW1463,SW1463,SW1463,NA,NA,SW 1463,NA,SW1463,SW1463,NA,NA,SW1463,SW 1463,SW1463,large_intestine,large_intestine,rectum,NA,NA,Colon,NA,Intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,SW1463,large_intestine
SW1573,SW1573,SW1573,SW 1573,SW1573,NA,NA,SW 1573,NA,SW1573,SW_1573,SW1573,NA,SW1573,SW 1573,SW1573,lung,lung,lung,NA,NA,Lung,NA,Lung:NSCLC,lung,lung ,NA,NA,lung,lung,lung,Lung,lung,SW1573,lung
SW1710,SW1710,SW1710,SW-1710,NA,NA,NA,NA,NA,SW1710,SW-1710,NA,NA,SW1710,NA,SW1710,urinary_tract,urinary_tract,NA,NA,NA,NA,NA,Bladder,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,SW1710,urinary_tract
SW1783,SW1783,SW1783,SW 1783,SW1783,NA,NA,NA,NA,SW1783,SW_1783,SW1783,NA,SW1783,NA,SW1783,central_nervous_system,central_nervous_system,central_nervous_system,NA,NA,NA,NA,CNS,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,NA,NA
SW1990,SW1990,SW1990,SW 1990,SW1990,NA,NA,SW 1990,NA,SW1990,SW_1990,SW1990,NA,SW1990,SW 1990,SW1990,pancreas,pancreas,pancreas,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,SW1990,pancreas
SW403,SW403,SW403,SW403,SW403,NA,NA,SW 403,SW403,NA,SW403,SW403,NA,NA,SW 403,NA,large_intestine,large_intestine,colon,NA,NA,Colon,LARGE_INTESTINE,NA,large_intestine,NA,NA,NA,large_intestine,large_intestine,NA,Colon,large_intestine,SW403,large_intestine
SW48,SW48,SW48,SW48,SW48,NA,NA,SW 48,SW48,SW48,SW48,NA,NA,SW48,SW 48,SW48,large_intestine,large_intestine,colon,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,SW48,large_intestine
SW620,SW620,SW620,SW620,SW620,CO:SW_620,NA,SW 620,SW620,SW620,SW620,SW620,NA,SW620,SW 620,SW620,large_intestine,large_intestine,colon,CO,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,NA,NA
SW626,SW626,SW626,NA,NA,NA,NA,NA,NA,SW626,NA,SW626,NA,NA,SW 626,SW626,ovary,NA,NA,NA,NA,NA,NA,ovary,NA,urogenital_system ,NA,NA,ovary,ovary,NA,Ovary,ovary,NA,NA
SW684,SW684,SW684,NA,SW684,NA,NA,NA,NA,SW684,NA,SW684,NA,NA,NA,SW684,soft_tissue,NA,connective_tissue,NA,NA,NA,NA,Misc,NA,soft_tissue ,NA,NA,soft_tissue,soft_tissue,NA,NA,soft_tissue,NA,NA
SW756,SW756,SW756,NA,SW756,NA,NA,NA,NA,SW756,NA,SW756,NA,NA,NA,SW756,cervix,NA,cervix_uteri,NA,NA,NA,NA,cervix,NA,urogenital_system ,NA,NA,cervix,cervix,NA,NA,cervix,NA,NA
SW780,SW780,SW780,SW 780,SW780,NA,NA,SW 780,NA,SW780,SW_780,SW780,NA,NA,SW 780,SW780,urinary_tract,urinary_tract,bladder,NA,NA,Urinary Bladder,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,NA,Urinary,urinary_tract,NA,NA
SW837,SW837,SW837,SW837,SW837,NA,NA,SW 837,NA,SW837,SW837,SW837,NA,NA,SW 837,SW837,large_intestine,large_intestine,colon,NA,NA,Rectum,NA,Intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,NA,Unclassified,large_intestine,SW837,large_intestine
SW872,SW872,SW872,NA,SW872,NA,NA,NA,NA,SW872,NA,SW872,NA,NA,NA,SW872,soft_tissue,NA,connective_tissue,NA,NA,NA,NA,Misc,NA,soft_tissue ,NA,NA,soft_tissue,soft_tissue,NA,NA,soft_tissue,NA,NA
SW900,SW900,SW900,SW 900,SW900,NA,NA,SW 900,NA,SW900,SW_900,SW900,NA,NA,NA,SW900,lung,lung,lung,NA,NA,Lung,NA,Lung:NSCLC,lung,lung ,NA,NA,lung,lung,NA,NA,lung,NA,NA
SW948,SW948,SW948,SW948,SW948,NA,NA,SW 948,SW948,SW948,SW948,SW948,NA,SW948,SW 948,SW948,large_intestine,large_intestine,colon,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,SW948,large_intestine
SW954,SW954,SW954,NA,SW954,NA,NA,NA,NA,SW954,NA,SW954,NA,NA,NA,SW954,vulva,NA,vulva,NA,NA,NA,NA,Vulva,NA,urogenital_system ,NA,NA,vulva,vulva,NA,NA,vulva,NA,NA
SW962,SW962,SW962,NA,SW962,NA,NA,NA,NA,SW962,NA,SW962,NA,NA,NA,SW962,vulva,NA,vulva,NA,NA,NA,NA,Vulva,NA,urogenital_system ,NA,NA,vulva,vulva,NA,NA,vulva,NA,NA
SW982,SW982,SW982,NA,SW982,NA,NA,SW 982,NA,SW982,NA,SW982,NA,SW982,SW 982,SW982,soft_tissue,NA,synovial_membrane,NA,NA,Breast,NA,Misc,NA,soft_tissue ,NA,NA,soft_tissue,soft_tissue,NA,Breast,soft_tissue,NA,NA
T-24,T-24,T-24,T24,T24,NA,NA,NA,NA,T-24,T24,T-24,NA,T24,NA,T-24,urinary_tract,urinary_tract,bladder,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,T24,urinary_tract
T47D,T47D,T47D,T-47D,T47D,BR:T47D,T47D,T-47D,NA,T47D,T-47D,T47D,t47d,T47D,T-47D,T47D,breast,breast,breast,BR,breast,Breast,NA,Breast,breast,breast ,T47D,breast,breast,breast,breast,Breast,breast,T47D,breast
T84,T84,T84,T84,T84,NA,NA,T84,NA,T84,T84,T84,NA,T84,T84,T84,large_intestine,large_intestine,colon,NA,NA,Colon,NA,Intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,T84,large_intestine
T98G,T98G,T98G,T98G,NA,NA,NA,T98G,NA,T98G,T98G,T98G,NA,T98G,T98G,T98G,central_nervous_system,central_nervous_system,NA,NA,NA,Brain,NA,Brain,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,Brain,central_nervous_system,T98G,central_nervous_system
TALL-1,TALL-1,TALL-1,TALL-1,NA,NA,NA,NA,NA,NA,TALL-1,TALL-1,NA,TALL1,NA,TALL-1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
TCCSUP,TCCSUP,TCCSUP,TCCSUP,NA,NA,NA,NA,NA,TCCSUP,TCCSUP,TCCSUP,NA,TCCSUP,NA,TCCSUP,urinary_tract,urinary_tract,NA,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,TCCSUP,urinary_tract
TCO-1,TCO-1,TCO-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thyroid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thyroid,thyroid,NA,NA,NA,NA,NA
TC-YIK,TC-YIK,TC-YIK,NA,NA,NA,NA,NA,NA,TC-YIK,NA,TC-YIK,NA,NA,NA,TC-YIK,cervix,NA,NA,NA,NA,NA,NA,Cervix,NA,urogenital_system ,NA,NA,cervix,cervix,NA,NA,cervix,NA,NA
TE-1,TE-1,TE-1,TE-1,NA,NA,NA,NA,NA,TE-1,TE-1,TE-1,NA,TE1,NA,TE-1,oesophagus,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,TE1,oesophagus
TE-10,TE-10,TE-10,TE-10,NA,NA,NA,NA,NA,TE-10,TE-10,TE-10,NA,TE10,NA,TE-10,oesophagus,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,TE10,oesophagus
TE-11,TE-11,TE-11,TE-11,NA,NA,NA,NA,NA,TE-11,TE-11,TE-11,NA,TE11,NA,TE-11,oesophagus,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,TE11,oesophagus
TE-12,TE-12,TE-12,NA,NA,NA,NA,NA,NA,TE-12,NA,TE-12,NA,NA,NA,TE-12,oesophagus,NA,NA,NA,NA,NA,NA,Esophagus,NA,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,NA,NA,oesophagus,NA,NA
TE-15,TE-15,TE-15,TE-15,NA,NA,NA,NA,NA,TE-15,TE-15,TE-15,NA,TE15,NA,TE-15,oesophagus,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,TE15,oesophagus
TE-161-T,TE-161-T,TE-161-T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
TE 441.T,TE 441.T,TE-441-T,TE 441.T,NA,NA,NA,NA,NA,TE-441-T,TE_441.T,TE-441-T,NA,TE441T,NA,TE-441-T,soft_tissue,soft_tissue,NA,NA,NA,NA,NA,soft_tissue,soft_tissue,soft_tissue ,NA,NA,NA,soft_tissue,soft_tissue,NA,soft_tissue,NA,NA
TE-5,TE-5,TE-5,TE-5,NA,NA,NA,NA,NA,TE-5,TE-5,TE-5,NA,TE5,NA,TE-5,oesophagus,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,NA,NA
TE-6,TE-6,TE-6,TE-6,NA,NA,NA,NA,NA,TE-6,TE-6,TE-6,NA,TE6,NA,TE-6,oesophagus,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,TE6,oesophagus
TE-8,TE-8,TE-8,TE-8,NA,NA,NA,NA,NA,TE-8,TE-8,TE-8,NA,TE8,NA,TE-8,oesophagus,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,TE8,oesophagus
TE-9,TE-9,TE-9,TE-9,NA,NA,NA,NA,NA,TE-9,TE-9,TE-9,NA,TE9,NA,TE-9,oesophagus,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,aero_digestive_tract ,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,TE9,oesophagus
TGBC11TKB,TGBC11TKB,TGBC11TKB,TGBC11TKB,NA,NA,NA,NA,NA,TGBC11TKB,TGBC11TKB,TGBC11TKB,NA,NA,NA,TGBC11TKB,stomach,stomach,NA,NA,NA,NA,NA,Stomach,stomach,digestive_system ,NA,NA,stomach,stomach,NA,NA,stomach,NA,NA
TGBC1TKB,TGBC1TKB,TGBC1TKB,NA,NA,NA,NA,NA,NA,TGBC1TKB,NA,TGBC1TKB,NA,NA,NA,TGBC1TKB,biliary_tract,NA,NA,NA,NA,NA,NA,biliary_tract,NA,digestive_system ,NA,NA,biliary_tract,biliary_tract,NA,NA,biliary_tract,NA,NA
TGBC24TKB,TGBC24TKB,TGBC24TKB,NA,NA,NA,NA,NA,NA,TGBC24TKB,NA,TGBC24TKB,NA,NA,NA,TGBC24TKB,biliary_tract,NA,NA,NA,NA,NA,NA,Biliary,NA,digestive_system ,NA,NA,biliary_tract,biliary_tract,NA,NA,biliary_tract,NA,NA
TGW,TGW,TGW,NA,NA,NA,NA,NA,NA,TGW,NA,TGW,NA,NA,NA,TGW,autonomic_ganglia,NA,NA,NA,NA,NA,NA,autonomic_ganglia,NA,nervous_system ,NA,NA,autonomic_ganglia,autonomic_ganglia,NA,NA,autonomic_ganglia,NA,NA
THP-1,THP-1,THP-1,THP-1,THP1,NA,NA,THP-1,THP1,THP-1,THP-1,THP-1,NA,THP1,NA,THP-1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
TI-73,TI-73,TI-73,T1-73,NA,NA,NA,NA,NA,NA,T1-73,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,bone,bone,NA,NA,bone,NA,NA
TK10,TK10,TK10,NA,TK10,RE:TK_10,NA,TK-10,NA,TK10,NA,TK10,NA,NA,TK-10,TK10,kidney,NA,kidney,RE,NA,Kidney,NA,kidney,NA,kidney ,NA,NA,kidney,kidney,NA,Kidney,kidney,NA,NA
TT,TT,TT,TT,TT,NA,NA,NA,NA,TT,TT,TT,NA,NA,NA,TT,thyroid,thyroid,thyroid_gland,NA,NA,NA,NA,thyroid,thyroid,thyroid ,NA,NA,thyroid,thyroid,NA,NA,thyroid,NA,NA
TUR,TUR,TUR,NA,NA,NA,NA,NA,NA,TUR,NA,TUR,NA,NA,NA,TUR,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
TYK-nu,TYK-nu,TYK-nu,TYK-nu,NA,NA,NA,TYK-nu,TYKNU,TYK-nu,TYK-nu,TYK-nu,NA,TYKNU,TYK-nu,TYK-nu,ovary,ovary,NA,NA,NA,Ovary,OVARY,ovary,ovary,urogenital_system ,NA,NA,ovary,ovary,ovary,Ovary,ovary,TYKNU,ovary
UO31,UO31,U031,NA,UO31,RE:UO_31,NA,NA,NA,U031,UO-31,U031,NA,UO31,NA,U031,kidney,NA,kidney,RE,NA,NA,NA,Kidney,NA,kidney ,NA,NA,NA,kidney,NA,NA,kidney,UO31,NA
U-118-MG,U-118-MG,U-118-MG,U-118 MG,NA,NA,NA,NA,NA,U-118-MG,U-118_MG,U-118-MG,NA,U118MG,NA,U-118-MG,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,Brain,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,U118MG,central_nervous_system
U251,U251,U251,U-251 MG,U251,CNS:U251,NA,NA,NA,U251,U-251_MG,U251,NA,NA,NA,U251,central_nervous_system,central_nervous_system,cns,CNS,NA,NA,NA,Brain,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,NA,NA,central_nervous_system,NA,NA
U-266,U-266,U-266,U266B1,U266B1,NA,NA,NA,NA,U-266,U266B1,U-266,NA,NA,U266B1,U-266,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA
U-2-OS,U-2-OS,U-2-OS,U-2 OS,NA,NA,NA,U-2 OS,U2OS,U-2-OS,U-2_OS,U-2-OS,NA,U2OS,U-2 OS,U-2-OS,bone,bone,NA,NA,NA,Bone,BONE,bone,bone,bone ,NA,NA,bone,bone,bone,Bone,bone,U2OS,bone
U-698-M,U-698-M,U-698-M,NA,NA,NA,NA,U-698-M,NA,U-698-M,NA,U-698-M,NA,NA,U-698-M,U-698-M,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Lymph Node,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA
U-87-MG,U-87-MG,U-87-MG,U-87 MG,U87MG,NA,NA,NA,NA,U-87-MG,U-87_MG,U-87-MG,NA,U87MG,U-87 MG,U-87-MG,central_nervous_system,central_nervous_system,cns,NA,NA,NA,NA,Brain,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,Brain,central_nervous_system,U87MG,central_nervous_system
UACC-257,UACC-257,UACC-257,UACC-257,UACC257,ME:UACC_257,NA,UACC-257,NA,UACC-257,UACC-257,UACC-257,NA,UACC257,NA,UACC-257,haematopoietic_and_lymphoid_tissue,skin,skin,ME,NA,Skin,NA,Skin,haematopoietic_and_lymphoid_tissue,skin ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,skin,NA,haematopoietic_and_lymphoid_tissue,NA,NA
UACC-62,UACC-62,UACC-62,UACC-62,UACC62,ME:UACC_62,NA,NA,NA,UACC-62,UACC-62,UACC-62,NA,UACC62,UACC-62,UACC-62,haematopoietic_and_lymphoid_tissue,skin,skin,ME,NA,NA,NA,Skin,haematopoietic_and_lymphoid_tissue,skin ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,skin,Skin,haematopoietic_and_lymphoid_tissue,NA,NA
UACC-812,UACC-812,UACC-812,UACC-812,UACC812,NA,UACC812,UACC-812,NA,UACC-812,UACC-812,UACC-812,uacc812,UACC812,NA,UACC-812,breast,breast,breast,NA,breast,Breast,NA,breast,breast,breast ,UAC812///UACC812,breast,breast,breast,breast,NA,breast,NA,NA
UACC-893,UACC-893,UACC-893,UACC-893,UACC893,NA,UACC893,UACC-893,NA,UACC-893,UACC-893,UACC-893,uacc893,NA,NA,UACC-893,breast,breast,breast,NA,breast,Breast,NA,Breast,breast,breast ,UACC893,breast,breast,breast,NA,NA,breast,NA,NA
UMC-11,UMC-11,UMC-11,NA,UMC11,NA,NA,UMC-11,NA,UMC-11,NA,UMC-11,NA,NA,UMC-11,UMC-11,lung,NA,lung,NA,NA,Lung,NA,Lung,NA,lung ,NA,NA,lung,lung,NA,Lung,lung,NA,NA
UM-UC-3,UM-UC-3,UM-UC-3,UM-UC-3,UMUC3,NA,NA,UM-UC-3,UMUC3,UM-UC-3,UM-UC-3,UM-UC-3,NA,UMUC3,UM-UC-3,UM-UC-3,urinary_tract,urinary_tract,bladder,NA,NA,Urinary Bladder,URINARY_TRACT,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,Urinary,urinary_tract,UMUC3,urinary_tract
VA-ES-BJ,VA-ES-BJ,VA-ES-BJ,NA,NA,NA,NA,NA,NA,VA-ES-BJ,NA,VA-ES-BJ,NA,NA,NA,VA-ES-BJ,bone,NA,NA,NA,NA,NA,NA,Misc,NA,soft_tissue ,NA,NA,bone,bone,NA,NA,bone,NA,NA
VM-CUB-1,VM-CUB-1,VM-CUB-1,VM-CUB1,NA,NA,NA,NA,NA,VM-CUB-1,VM-CUB1,VM-CUB-1,NA,VMCUB1,NA,VM-CUB-1,urinary_tract,urinary_tract,NA,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,VMCUB1,urinary_tract
VMRC-MELG,VMRC-MELG,VMRC-MELG,NA,NA,NA,NA,NA,NA,NA,NA,VMRC-MELG,NA,NA,NA,VMRC-MELG,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,skin,NA,NA,skin,NA,NA
VMRC-RCZ,VMRC-RCZ,VMRC-RCZ,VMRC-RCZ,NA,NA,NA,NA,NA,VMRC-RCZ,VMRC-RCZ,NA,NA,VMRCRCZ,NA,VMRC-RCZ,kidney,kidney,NA,NA,NA,NA,NA,kidney,kidney,NA,NA,NA,kidney,kidney,kidney,NA,kidney,VMRCRCZ,kidney
WERI-Rb-1,WERI-Rb-1,WERI-Rb-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eye,eye,NA,NA,NA,NA,NA
WM-115,WM-115,WM-115,WM-115,WM115,NA,NA,WM-115,NA,WM-115,WM-115,WM-115,NA,WM115,WM-115,WM-115,skin,skin,skin,NA,NA,Skin,NA,Skin,skin,skin ,NA,NA,skin,skin,skin,Skin,skin,WM115,skin
WSU-NHL,WSU-NHL,WSU-NHL,NA,NA,NA,NA,WSU-NHL,NA,WSU-NHL,NA,WSU-NHL,NA,NA,NA,WSU-NHL,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Blood,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
YAPC,YAPC,YAPC,YAPC,YAPC,NA,NA,YAPC,NA,YAPC,YAPC,YAPC,NA,YAPC,YAPC,YAPC,pancreas,pancreas,pancreas,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,NA,NA
YH-13,YH-13,YH-13,YH-13,NA,NA,NA,NA,NA,YH-13,YH-13,YH-13,NA,YH13,NA,YH-13,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,YH13,central_nervous_system
YKG-1,YKG-1,YKG-1,YKG1,NA,NA,NA,NA,NA,YKG-1,YKG1,YKG-1,NA,YKG1,NA,YKG-1,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,Brain,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,YKG1,central_nervous_system
YT,YT,YT,NA,NA,NA,NA,NA,NA,YT,NA,YT,NA,NA,NA,YT,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
ZR-75-30,ZR-75-30,ZR-75-30,ZR-75-30,NA,NA,ZR7530,ZR-75-30,NA,ZR-75-30,ZR-75-30,ZR-75-30,zr7530,ZR7530,NA,ZR-75-30,breast,breast,NA,NA,breast,Breast,NA,Breast,breast,breast ,NA,breast,breast,breast,breast,NA,breast,ZR7530,breast
1321N1,1321N1,NA,1321N1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321N1,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,Brain,NA,NA,NA
143B,143B,NA,143B,NA,NA,NA,143B,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA,NA,NA
253J,253J,NA,253J,NA,NA,NA,NA,NA,NA,253J,NA,NA,253J,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA,NA,NA
253J-BV,253J-BV,NA,253J-BV,NA,NA,NA,NA,NA,NA,253J-BV,NA,NA,253JBV,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA,NA,NA
42-MG-BA,42-MG-BA,NA,42-MG-BA,NA,NA,NA,NA,NA,42-MG-BA,42-MG-BA,42-MG-BA,NA,42MGBA,NA,42-MG-BA,NA,central_nervous_system,NA,NA,NA,NA,NA,Brain,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,42MGBA,central_nervous_system
